#{"t_start": 1770904748.212053, "env_id": "None"}
r,l,t
-30.366515,89,20.441678
-30.040964,93,20.468138
-33.987865,218,20.533007
-53.34087,95,20.5575
-40.015208,109,20.583916
-36.05371,87,20.604749
-43.474377,131,20.638893
-37.60017,73,20.656546
-70.148975,111,20.683243
-63.080313,133,20.715695
-27.843156,78,20.73581
-29.945776,136,20.772983
-57.230905,93,20.798587
-37.968848,94,20.825388
-63.475704,135,20.85987
-77.35761,132,21.550989
-59.164713,146,21.593567
-57.808746,179,21.644505
-62.903631,133,21.682468
-48.878898,90,21.707906
-52.11334,138,21.747241
-39.258944,71,21.764814
-36.475693,142,21.802836
-66.610817,104,21.829424
-34.055175,90,21.854573
-68.044512,96,21.882134
-53.791959,98,21.906316
-24.37093,179,21.954413
-26.769156,265,22.034806
-60.253198,124,22.071741
-29.704313,120,22.108293
-61.654852,173,22.834182
-32.529292,79,22.85744
-24.47703,136,22.900279
-60.687642,127,22.940745
-32.976302,92,22.967591
-29.595291,106,22.997845
-67.416265,155,23.035583
-61.888405,207,23.098097
-52.299738,148,23.142253
-60.274766,133,23.178516
-32.302007,75,23.20102
-52.127108,125,23.242167
-25.199848,106,23.280762
-40.091775,88,23.309858
-64.134478,114,23.345189
-36.386067,92,23.379993
-59.949533,132,23.421467
-56.179766,153,24.181161
-40.524602,156,24.226431
-28.132849,147,24.271398
-42.970977,103,24.304193
-36.557989,68,24.3253
-56.576759,115,24.3579
-34.817581,86,24.379175
-74.172713,133,24.416203
-88.94177,129,24.450899
-58.978161,136,24.489013
-33.671743,106,24.518206
-30.854426,184,24.569061
-34.55821,121,24.599427
18.422627,391,24.696657
-39.106906,67,25.378805
-41.528236,199,25.435358
-40.820795,86,25.459588
-43.327777,97,25.488587
-66.83115,134,25.527473
-58.061537,109,25.559146
-30.450625,117,25.589787
-43.850577,109,25.616801
-29.12942,87,25.643248
-54.446784,107,25.676604
-47.763711,101,25.705006
-58.159733,148,25.740652
-56.431925,125,25.771775
-45.48371,72,25.792143
-60.312403,120,25.832307
-63.651718,116,25.871132
-54.397191,78,25.891611
-35.406436,109,25.924197
-39.125913,84,25.948654
-48.378493,92,26.61489
-31.300755,87,26.639303
-35.228284,89,26.665242
-41.095595,88,26.690673
-64.511394,146,26.733563
-32.192171,79,26.756234
-55.247114,83,26.779744
-26.125839,139,26.816368
-39.534183,67,26.83472
-15.796683,118,26.863637
-39.150551,94,26.886206
-42.495953,105,26.914061
-62.943114,98,26.938576
-63.797622,122,26.970152
-31.036727,136,27.002513
-50.99066,127,27.033715
-14.95326,149,27.075418
-65.454381,108,27.10327
-32.024852,92,27.127951
-35.957089,90,27.765468
-56.266122,95,27.79411
-65.561189,95,27.821938
-54.553973,115,27.853642
-83.745496,143,27.895171
-43.996002,255,27.966833
-38.32774,104,27.993032
-39.943271,157,28.032418
-34.685031,85,28.054861
-38.239403,85,28.075629
-49.429559,95,28.099283
-25.767543,160,28.13942
-30.075058,95,28.162707
-66.882012,112,28.190932
-30.289039,91,28.214609
-38.464496,99,28.239275
-38.773399,107,28.26888
-34.015855,109,28.298966
-34.002395,90,28.944622
-33.182441,134,28.991292
-32.796743,76,29.016176
-45.42213,92,29.043083
-24.337679,113,29.076581
-34.896646,104,29.108099
-27.617849,99,29.134553
-26.872948,104,29.160264
-48.316664,172,29.210799
-59.123011,87,29.232446
-58.813526,101,29.258923
-52.684126,94,29.281151
-57.137568,138,29.32045
-52.884424,118,29.351299
-33.696229,69,29.367984
-43.560751,109,29.394989
-48.529965,101,29.419927
-47.382344,93,29.442521
-75.205851,139,29.475827
-31.666727,110,30.120756
-58.129571,115,30.154583
-67.559681,100,30.184405
-27.316815,120,30.217926
-64.029717,104,30.247637
-94.829897,160,30.295088
-36.014129,94,30.318356
-59.390777,125,30.350683
-50.948579,243,30.412491
-33.366146,121,30.446328
-51.055588,104,30.47165
-52.045026,111,30.499911
-37.543071,72,30.517419
-59.965443,122,30.546444
-60.604487,131,30.579215
-40.939778,96,30.604894
-39.4243,85,30.62543
-67.469646,121,31.299859
-29.83982,102,31.331271
-70.412281,108,31.363284
-58.973221,97,31.392557
-64.079433,84,31.417815
-58.995331,74,31.439255
-53.759183,101,31.468401
-61.300812,76,31.489748
-44.936896,83,31.51176
-37.909773,75,31.531013
-35.123169,99,31.559769
-72.609522,122,31.592452
-36.590265,75,31.612986
-52.577574,86,31.634372
-41.716732,70,31.650932
-88.025628,139,31.686564
-41.495818,119,31.714898
-45.571565,117,31.742874
-70.415055,92,31.765094
-66.92824,103,31.79446
-63.631416,116,31.824538
-63.9086,77,32.468054
-57.517839,111,32.500149
-41.650269,149,32.542323
-65.568535,117,32.576648
-52.382539,111,32.609776
-53.083717,97,32.637732
-55.223079,123,32.670982
-54.07841,91,32.693439
-31.526149,114,32.720765
-49.164407,108,32.746416
-57.395464,99,32.770075
-31.015194,90,32.791235
-52.37203,114,32.818538
-45.083633,72,32.835663
-36.503798,89,32.85674
-30.843554,89,32.877587
-45.769801,107,32.903409
-67.735386,109,32.929496
-40.323944,87,32.950558
-27.642821,112,32.977548
-74.861737,129,33.629256
-44.999842,88,33.656263
-67.008527,102,33.685452
-41.593979,97,33.713336
-33.797169,99,33.743109
-67.11143,92,33.769415
-39.471455,74,33.790194
-29.659249,133,33.824487
-38.05247,90,33.84633
-59.097073,126,33.876937
