#{"t_start": 1770904748.212053, "env_id": "None"}
r,l,t
2.849272,148,82.71832
-2.38609,110,82.749641
31.263415,165,82.79441
-33.799642,104,82.821127
9.539732,133,82.853566
-15.390304,128,82.885589
8.505968,150,82.92149
-21.657013,113,82.949144
-49.901118,138,82.982097
-10.298469,105,83.664472
-21.894797,150,83.716807
-4.815438,130,83.764315
20.048336,214,83.840969
-27.991497,161,83.894653
-17.436715,93,83.923932
-29.283428,112,83.958027
19.696151,246,84.027837
-17.712837,187,84.077473
0.944115,102,84.103888
24.896515,231,84.161138
-38.06705,123,84.191453
-14.404147,125,84.221716
-1.945225,125,84.909673
9.149022,223,84.987891
15.158021,136,85.039533
4.196212,119,85.084974
7.709908,170,85.144319
-45.813824,138,85.188806
12.293386,137,85.230133
-25.105912,180,85.282444
12.558266,137,85.320352
5.433529,166,85.365
-2.017324,115,85.394904
30.950273,147,85.431128
12.197909,139,85.465762
24.491129,155,85.502842
-2.469863,113,86.187371
-7.790785,162,86.244868
9.086169,138,86.293901
-19.414123,118,86.338251
23.375081,160,86.395913
35.434889,271,86.482325
38.807731,179,86.533738
4.574594,110,86.564232
-13.928281,225,86.625719
7.900501,127,86.657522
-20.812301,137,86.691191
-20.018826,165,86.731051
11.398793,126,86.761123
38.250153,278,87.553681
31.205382,169,87.615763
42.771576,192,87.688832
41.750778,180,87.751746
-12.023066,156,87.802603
95.667856,316,87.896785
-19.414474,122,87.929451
-29.674914,146,87.967874
17.656601,192,88.01669
-17.901474,96,88.040796
7.802461,128,88.072416
13.809905,119,88.102992
4.017118,176,89.130116
-19.735698,140,89.333585
11.037356,189,89.526388
52.792825,238,89.777057
-19.194294,97,89.87427
19.816614,199,90.094871
-14.62308,122,90.223676
3.729947,224,90.429352
-14.598119,234,90.671035
-16.327347,94,90.744434
6.467989,128,90.849269
25.121247,140,91.012035
41.072431,240,93.221087
-22.681344,182,93.389177
41.196583,172,93.54542
102.738002,332,93.866753
-4.502781,126,93.996846
73.84038,235,94.228076
1.164074,113,94.334438
-5.338826,157,94.473949
-0.221051,137,94.610099
-16.418684,137,94.735355
84.697001,294,95.001612
-31.106171,167,97.221027
-8.270195,115,97.324812
35.921008,180,97.509889
3.276652,123,97.626142
17.259879,179,97.811073
-38.411346,126,97.947772
-1.391279,128,98.068183
2.929151,122,98.179592
-31.696875,140,98.313761
-11.91219,172,98.465482
-34.047419,119,98.581214
-14.019789,129,98.698359
35.794229,179,98.867189
86.795533,323,100.696401
19.832808,188,100.851037
-0.572754,202,101.056587
-13.732193,167,101.225196
-18.298195,187,101.398948
15.713821,166,101.571921
-37.932908,149,101.724091
6.648977,135,101.866624
-6.392834,176,102.044165
40.009336,187,102.219126
129.725685,386,104.553183
18.07317,195,104.731114
-19.583991,140,104.858526
25.452353,217,105.066026
-7.335692,164,105.220078
14.524203,141,105.346257
14.307469,136,105.461975
156.735824,366,105.801852
33.444902,194,106.015252
-7.223731,113,106.133723
123.787182,333,106.450896
20.973243,156,108.326281
31.104718,185,108.474323
-1.304611,117,108.569972
38.44764,184,108.711736
31.267649,165,108.84815
10.438277,155,108.987374
158.560932,416,109.308288
-32.28829,151,109.438401
58.473848,230,109.64051
22.677236,171,109.780113
21.719049,144,111.729138
39.62263,210,111.922851
56.197026,265,112.165373
-13.476927,119,112.264486
12.657495,137,112.414193
32.459572,213,112.637831
24.857979,201,112.833676
14.817633,142,112.944063
-29.219944,138,113.061868
-12.247434,172,113.223043
14.866755,147,113.371435
19.861402,189,113.544771
-10.024964,153,115.620324
39.71596,240,115.842731
16.84391,168,115.987031
94.920703,328,116.294415
12.103753,175,116.447257
14.472424,135,116.56931
18.017749,226,116.766787
1.454352,112,116.870378
20.224898,176,117.014926
-2.502364,247,117.238616
24.580115,166,117.387302
159.956553,400,119.715041
112.274415,299,119.973778
5.807257,137,120.092874
21.27714,175,120.246103
46.441419,203,120.426654
22.622154,213,120.611771
170.177435,539,121.078823
6.066068,130,123.171656
80.579187,255,123.420176
37.058174,194,123.593215
-21.397254,168,123.741009
21.77848,151,123.87717
77.872096,274,124.113225
15.496412,185,124.272579
65.280499,251,124.490915
113.154827,301,124.757084
80.278848,228,124.955256
13.747928,170,127.078394
73.627867,224,127.279967
7.462138,140,127.402079
-17.61106,141,127.530382
4.683567,205,127.707754
-1.141965,109,127.802205
59.742756,257,128.040923
12.120204,216,128.245278
18.440578,214,128.439644
0.055344,122,128.554906
7.50904,201,128.741301
50.892413,286,130.930488
92.603963,269,131.175262
23.408196,170,131.328701
39.17312,222,131.521306
-13.216882,191,131.698435
19.457383,177,131.854407
37.895783,171,131.997596
54.166409,285,132.254559
-8.064576,143,132.382472
-25.620079,134,132.496044
11.106948,182,134.519722
58.315913,204,134.673083
71.919525,257,134.85147
41.712323,215,134.91584
109.750076,362,135.030001
36.978061,192,135.096899
44.303986,215,135.169563
-25.834087,148,135.217537
90.58215,319,135.329993
32.874015,253,136.077371
13.168463,236,136.144589
80.28261,318,136.233849
31.481228,217,136.290735
260.971025,560,136.441983
102.311305,264,136.514518
22.792817,147,136.550196
-17.681611,213,137.243876
142.226542,365,137.343774
16.072713,192,137.395959
58.064779,192,137.44376
55.321411,236,137.505644
-0.094924,155,137.546316
20.753329,178,137.594758
235.354594,529,137.73555
-25.947473,201,138.45949
15.658124,168,138.505272
121.425295,294,138.585676
10.605526,171,138.633546
-11.723899,190,138.680933
115.577005,326,138.772871
46.252812,247,138.836595
8.95499,209,138.89185
113.174525,319,139.593015
59.422771,277,139.669854
86.415966,287,139.751722
75.698531,239,139.81363
-16.534887,122,139.847099
33.384095,186,139.898191
79.997937,232,139.959534
-4.492248,163,139.999818
-59.19841,207,140.051089
10.764586,184,140.100329
123.579997,362,140.842422
-26.040415,151,140.887287
52.123556,225,140.951428
-5.613924,227,141.011288
-24.420201,197,141.057665
38.924934,223,141.110094
34.346739,181,141.152555
-22.094267,119,141.181062
-37.472575,162,141.219208
73.51143,243,141.276362
37.689276,172,141.935107
-11.59844,131,141.971587
4.453692,149,142.014138
15.06065,199,142.070954
28.841638,183,142.12113
-3.156519,177,142.167101
21.851297,179,142.210723
-8.151608,170,142.250593
105.705103,361,142.335318
86.825401,245,142.392866
48.253581,283,143.086527
68.75249,213,143.147201
-19.781554,182,143.20063
60.398098,320,143.295103
62.437281,284,143.367355
28.442615,201,143.415725
-38.24993,178,143.458261
152.503271,354,143.541806
230.403937,561,144.314141
15.364962,265,144.388713
-28.140222,201,144.442276
94.787228,304,144.515502
-26.223989,203,144.564365
9.731162,163,144.603355
21.216915,254,144.664301
14.056808,190,144.709802
13.613265,253,145.38587
-30.126447,203,145.44388
6.88827,250,145.515763
-16.907202,202,145.570852
78.228227,274,145.636578
120.017008,336,145.716072
74.985915,262,145.778108
80.116709,259,145.839408
141.109902,405,146.563877
89.60862,333,146.65858
259.971701,537,146.794068
167.502482,465,146.904132
124.110839,388,146.996193
149.540824,433,147.727608
76.789266,280,147.808995
112.092411,305,147.884369
41.222424,282,147.952453
2.07802,174,147.993516
48.607009,206,148.041888
91.91399,268,148.104855
89.331753,274,148.826776
49.864041,243,148.895679
-4.556684,165,148.946538
78.266773,311,149.03193
61.936663,266,149.09558
88.35056,282,149.163206
110.88392,381,149.254825
329.431307,632,150.02424
38.84646,187,150.077279
-21.979835,219,150.135825
181.445123,449,150.243692
53.879246,245,150.301328
114.165895,285,150.368954
86.68565,288,150.437603
118.598223,295,151.125357
19.677472,206,151.183107
139.036992,410,151.293426
168.069233,397,151.388809
140.446811,408,151.486257
121.986219,393,152.187815
119.521392,320,152.278648
108.884614,381,152.385283
97.47555,247,152.44608
-23.379153,136,152.479141
30.908266,212,152.530359
187.243256,484,152.646283
28.462342,243,153.320841
-20.423294,168,153.369512
72.231552,293,153.459611
56.09291,276,153.562847
184.526016,443,153.671053
268.176791,586,153.812227
-2.629109,164,153.85191
63.27232,269,154.549818
50.179518,236,154.618656
104.093319,382,154.722216
279.757775,590,154.871175
177.856674,480,154.98574
143.148458,456,155.727765
60.587884,248,155.799342
109.258736,311,155.884581
152.904576,353,155.96912
57.000653,195,156.015018
-1.126148,139,156.047968
36.779516,192,156.093627
8.751038,148,156.128955
72.443337,275,156.801647
51.185943,218,156.862298
272.318521,539,157.009927
129.549507,361,157.095811
51.094387,203,157.144307
117.270594,340,157.225209
-26.869949,197,157.271643
66.089205,245,157.948103
29.026219,172,157.996754
203.712267,463,158.124234
17.235904,164,158.163893
62.787799,300,158.235853
112.110175,315,158.310464
76.495615,222,158.363116
89.671674,279,159.062627
160.322663,416,159.183204
92.065018,237,159.254086
81.059823,230,159.31098
99.523406,254,159.372871
102.691749,272,159.438199
162.33581,378,159.528711
126.622448,329,160.242094
64.653062,248,160.331163
139.509661,325,160.448172
176.129833,448,160.585195
273.369424,542,160.732307
355.756052,608,161.606662
78.736456,288,161.713016
54.574662,320,161.821665
77.393449,281,161.902324
192.346391,443,162.01448
81.000628,229,162.069603
103.657518,354,162.845408
73.119144,218,162.924521
523.687057,832,163.497711
64.129185,278,163.804195
122.069336,302,164.09755
271.092941,565,166.465169
192.463841,479,166.906927
248.889031,449,167.29052
79.297773,349,167.601035
113.405429,256,167.845186
291.85012,497,170.239177
64.692597,292,170.590003
244.350304,490,171.109167
63.995781,224,171.327045
80.173977,224,171.518542
91.808547,236,171.742996
60.320828,217,171.931638
239.517709,543,174.447438
123.411283,273,174.681482
29.811559,303,174.946754
145.9611,316,175.191293
146.787371,387,175.505212
113.464944,278,175.746853
108.757963,353,177.706552
193.187808,413,178.078732
60.539819,281,178.338044
305.809035,598,178.869787
162.16845,406,179.244796
280.321608,510,181.584597
76.356216,221,181.811687
109.418276,255,182.05108
220.946774,460,182.47838
186.465652,392,182.853982
251.140949,536,184.604428
317.728797,581,184.770052
204.021815,457,184.900051
190.806736,430,185.039113
140.315346,378,185.748912
62.449026,239,185.816555
160.147404,407,185.936238
58.13797,256,186.007258
335.856422,592,186.1796
189.075266,435,186.312128
94.383054,292,187.141819
97.745248,232,187.294251
135.152461,333,187.620692
66.601514,193,187.818327
125.489874,263,188.076996
243.28488,485,188.536543
168.4026,428,190.912584
133.051276,382,191.282667
113.734588,314,191.620861
106.379638,256,191.755777
111.186672,325,191.867555
85.532587,221,191.935004
74.261001,335,192.036477
191.908179,376,194.046
130.740559,378,194.424366
362.648171,555,194.986721
157.614383,388,195.341009
99.193426,295,195.578116
224.51089,449,197.959054
152.607584,403,198.349086
148.918863,379,198.691212
357.003898,560,199.184546
126.231126,312,199.467335
116.334913,253,201.679874
119.730192,268,201.950164
13.229008,242,202.168705
132.190496,269,202.403227
124.790043,289,202.640839
193.652444,416,203.031363
102.926318,241,203.238324
459.201141,752,205.71404
98.218414,309,205.992534
228.538324,459,206.410371
32.1568,244,206.638737
180.021728,353,206.924119
62.776168,329,209.192697
106.34295,271,209.455729
92.0624,248,209.730986
94.515717,341,210.07696
297.967802,517,210.528703
100.012533,327,210.805028
88.133901,229,212.962024
139.908275,316,213.261514
349.711454,604,213.929659
114.77901,364,214.280108
64.091172,323,214.603224
122.924976,366,214.980876
105.037017,342,217.309277
148.273034,301,217.625464
73.703882,282,217.919034
255.744795,494,218.401797
158.332605,388,218.837563
194.790133,438,221.187608
60.340548,295,221.432642
180.193359,367,221.77998
57.393896,287,222.041846
34.7774,285,222.280088
173.573963,322,222.569191
91.022784,360,224.494914
159.73523,391,224.607344
78.761982,203,224.665572
266.709075,482,224.786155
48.993009,183,224.83639
236.018039,449,224.980349
177.609781,423,225.823194
117.603864,370,225.963109
188.218472,465,226.089996
30.46566,255,226.148511
144.638657,397,226.238548
109.493181,366,226.321346
109.547401,244,227.006568
128.212232,372,227.11103
32.5122,272,227.185636
115.849115,359,227.273486
92.181446,232,227.32967
110.493112,378,227.427402
13.38794,255,228.152618
622.765323,928,228.417402
-43.557005,239,228.485518
-27.026144,241,228.701456
141.79728,372,229.0202
86.17271,293,231.25979
142.26428,303,231.535225
307.308269,595,232.053529
119.253628,332,232.349336
73.493481,332,232.628122
249.461875,463,235.243733
66.32286,298,235.522088
135.986944,289,235.77932
-53.168516,275,236.031705
755.328456,1098,237.109779
146.521827,363,239.406824
106.922406,376,239.735229
228.495915,454,240.131423
98.096185,362,240.448013
198.045494,443,240.821709
242.215953,495,243.225616
180.76826,348,243.526783
235.193547,456,243.933718
208.0099,392,244.279574
154.673337,385,244.615613
231.629747,494,247.070721
128.620078,264,247.346716
131.197584,389,247.695701
380.994433,669,248.323069
58.5748,308,248.681724
181.931052,452,251.059303
114.651136,260,251.311072
245.260559,446,251.744838
145.940057,286,252.015526
382.235057,644,254.476884
131.894561,300,254.749704
132.741017,380,255.110568
207.04517,466,255.533118
197.29151,436,255.997429
125.532706,385,256.332763
50.50802,291,258.739025
56.588525,259,258.970014
307.875149,482,259.437419
144.451724,282,259.712309
-15.358152,212,259.916535
102.630236,251,260.182151
157.173566,329,260.493516
102.238099,361,262.882123
112.073172,255,263.131117
324.342452,566,263.660192
153.912545,398,264.040637
135.637901,374,264.389094
-1.161601,233,266.440104
288.771506,541,266.910113
123.468525,318,267.181768
55.29375,295,267.434152
276.823404,483,267.879398
252.442551,504,270.378068
57.092375,183,270.551531
198.888113,444,271.031447
112.402638,242,271.278685
179.516774,362,271.66245
137.904465,396,272.134895
207.447366,470,274.424766
197.84204,358,274.793533
194.83205,363,275.151561
105.599258,238,275.402442
148.091475,379,275.779789
120.731675,375,276.155253
254.367915,511,278.471823
129.283904,338,278.804492
133.596571,389,279.139076
142.892437,292,279.403986
120.25472,264,279.640515
81.978489,302,279.910639
132.58016,390,282.145579
499.361593,749,282.838281
150.656879,404,283.205205
103.19637,345,283.526736
178.919733,320,285.645362
171.669339,420,286.022898
256.153865,508,286.556932
327.222716,562,287.082615
316.696233,571,289.483713
330.663161,564,290.015225
374.99382,600,290.594459
248.027547,458,291.021579
86.91294,208,291.208141
104.502139,230,293.339479
89.954469,332,293.635916
68.325254,194,293.822709
120.864734,252,294.050165
121.360399,252,294.292763
116.86877,364,294.632309
146.862042,358,294.95475
127.760476,381,297.203078
152.460708,406,297.586968
206.832628,452,297.990128
254.565516,505,298.47359
586.073885,911,301.258307
133.339126,353,301.573082
141.330689,361,301.948867
328.610328,517,302.438362
219.914405,462,304.759342
117.67542,244,305.001938
189.761972,405,305.37783
155.917068,375,305.778118
254.9002,510,306.244433
154.775105,296,306.509101
150.455653,375,308.99271
183.441632,332,309.286074
241.325172,500,309.769702
121.135455,248,309.987053
339.517068,543,310.461223
102.98449,245,312.67577
129.53899,371,313.007061
163.304881,416,313.353597
139.48163,380,313.708264
184.520287,423,314.092213
219.398022,443,316.432923
135.537156,266,316.672405
228.40681,472,317.131684
287.849832,495,317.567004
259.601219,525,318.022323
174.996935,316,320.236283
114.355534,362,320.567281
382.14322,628,321.174129
216.622739,428,321.547975
323.629178,590,323.99506
195.221709,373,324.331623
247.926991,418,324.716217
192.570768,401,325.058773
152.00092,292,325.314429
213.418057,364,325.631063
192.575806,441,328.054177
213.943658,447,328.442031
213.746971,374,328.768953
332.313652,502,329.207341
135.700775,270,329.441593
237.829777,492,331.899385
492.167921,712,332.573547
120.076453,262,332.824662
136.610424,377,333.158782
172.745634,424,335.488735
193.295221,451,335.898833
170.738146,430,336.278381
196.51229,408,336.633065
121.478996,251,336.856343
175.330772,412,337.210845
245.895883,419,339.523056
175.780339,386,339.855103
172.618971,323,340.143874
223.826422,413,340.501377
345.087959,586,343.008846
197.457097,431,343.400988
735.190911,1024,344.31578
173.848649,436,344.697421
179.788326,437,347.063486
337.336449,576,347.565648
424.488769,716,348.216509
158.762967,320,348.506604
127.204892,348,350.773088
265.952473,450,351.16255
166.276255,322,351.434868
153.5823,420,351.799701
591.341879,872,354.514333
120.806785,367,354.835793
221.401002,403,355.185576
537.167809,795,355.881483
244.170562,425,358.262443
337.847048,600,358.790122
91.585741,348,359.09254
590.133865,843,359.825366
158.240534,415,362.165445
180.15298,429,362.539643
285.370483,529,363.007344
190.442974,441,363.401444
400.603287,669,365.954794
166.146676,335,366.255225
246.679006,467,366.654507
499.306997,750,367.308129
168.237569,401,369.657394
416.193861,703,370.310079
276.163997,508,370.764926
247.278137,501,371.208682
148.279302,301,373.449626
152.785678,286,373.710437
214.937658,379,374.049206
206.063037,467,374.470076
217.786416,465,374.887952
250.468221,532,377.330631
185.861336,328,377.629321
620.285583,890,378.43189
155.714477,289,378.689767
160.769325,398,380.992002
110.127047,238,381.20846
369.066011,654,381.968025
152.66336,285,382.219231
207.449523,375,382.553563
352.821074,643,384.878672
144.330766,309,385.156317
156.849635,296,385.418337
246.64957,473,385.827265
253.392178,449,386.206956
322.753842,586,388.688929
144.980223,412,389.061089
176.918805,338,389.36248
127.988074,363,389.678375
166.889217,314,389.968002
128.385845,273,392.190855
208.199614,437,392.584488
396.035978,661,393.162297
269.152403,500,393.630309
354.773735,646,396.186331
311.989784,567,396.840582
238.669109,521,397.478285
193.987962,341,397.793668
578.078671,867,400.727179
558.887054,842,401.486454
306.619039,522,401.949982
200.128526,478,404.043187
415.058014,658,404.617441
214.026364,456,405.016508
410.517047,702,407.261672
409.077825,709,407.837356
531.403248,782,408.518001
666.459365,921,410.954503
139.784515,272,411.202238
445.733352,678,411.796785
260.689406,562,412.295218
159.135389,301,414.599998
245.88876,525,415.078318
163.769784,414,415.449333
178.66327,348,415.763687
159.442862,320,416.047168
198.720506,358,418.343368
390.491952,686,418.944301
269.988994,500,419.417778
251.936527,536,419.890073
435.586208,721,422.519804
470.670102,712,423.169904
313.304665,499,423.622144
178.516715,419,426.005174
54.829483,405,426.372759
179.138608,435,426.749194
162.707038,306,427.013113
238.663028,403,427.360653
491.324487,747,430.06723
167.325031,309,430.334184
182.951228,447,430.719473
213.358479,483,431.138535
236.452053,489,433.535295
664.567115,908,434.330854
256.440051,500,434.780219
315.961751,618,435.341869
133.091049,273,437.562852
1153.212335,1569,438.945349
247.410251,509,441.436887
178.302488,335,441.726846
119.967878,469,442.136696
190.832067,357,442.444822
401.584767,706,445.074699
394.889901,630,445.632976
253.33467,507,446.087402
162.686018,315,446.358428
190.192022,463,446.767021
298.429066,607,449.258243
170.112016,315,449.53636
175.461629,314,449.860945
117.736124,446,450.288456
197.347767,345,450.594303
367.328713,654,453.163206
284.891339,562,453.665446
154.784255,288,453.918422
201.743345,480,454.339724
212.879292,380,456.704391
233.274776,414,457.068595
154.13263,299,457.332936
370.350701,662,457.914288
235.343415,467,460.37272
656.77669,943,461.202539
280.819309,481,461.620949
483.640601,693,464.207337
181.745588,340,464.508837
175.898688,325,464.79759
269.054006,447,465.220066
439.758404,681,465.84162
246.965313,440,468.224535
229.219866,389,468.597331
677.931157,918,469.407653
372.747977,609,471.863596
202.846076,376,472.228565
307.212639,580,472.751642
192.972634,388,473.124939
194.713326,341,473.4442
264.991556,431,475.809025
315.265422,477,476.285687
311.673969,516,476.579471
269.963641,435,476.696554
559.802178,822,477.639611
192.5521,342,477.732191
549.679708,808,477.945323
284.038077,574,478.724114
122.307766,248,478.79337
302.772358,473,478.923114
120.179018,246,478.992335
382.954633,584,479.144466
282.503656,466,479.874423
393.402313,586,480.038171
478.657029,745,480.226281
559.653211,801,481.072218
161.983608,300,481.156371
253.383432,428,481.272934
190.981902,333,481.361234
220.81146,466,481.474073
617.490701,818,482.31661
217.941592,459,482.443547
302.992653,496,482.56034
249.885268,401,482.654921
389.395436,633,483.438883
552.085928,789,483.63924
300.197883,553,483.772347
250.540676,476,484.514703
198.011166,448,484.636604
289.317927,553,484.77189
425.714726,673,484.933251
242.174521,396,485.691289
166.090881,396,485.804407
380.010949,609,485.953217
189.93731,438,486.055593
252.609102,419,486.761924
656.533756,897,487.01065
343.205853,541,487.138907
178.281463,420,487.237755
307.259259,490,488.028717
593.936271,842,488.255303
270.791343,520,488.402986
287.777213,446,489.175938
292.108925,463,489.307622
206.064072,357,489.40177
734.671096,958,489.688965
189.728208,359,490.445177
311.319146,566,490.609203
270.086374,543,490.74959
255.78853,469,490.877668
349.171416,540,491.662751
651.355762,902,491.918347
289.52988,508,492.055589
241.223084,403,492.789898
962.474173,1206,493.119856
465.727177,729,493.317226
363.892964,607,494.150382
362.617767,552,494.299331
485.863457,778,494.543708
244.401376,516,495.324301
772.725166,1050,495.65922
299.007186,583,495.839266
371.054907,622,496.665876
298.087442,547,496.809591
225.793642,415,496.914724
267.852697,548,497.055568
503.999247,757,497.874293
311.343405,501,498.001164
394.711286,626,498.154079
178.879137,360,498.861297
306.573638,587,499.022631
977.705111,1267,499.348644
409.385135,695,500.158973
461.241505,691,500.341509
465.762932,747,501.178024
435.518709,659,501.367499
329.490366,615,501.516689
454.478749,737,502.352505
271.759891,444,502.475729
475.901831,684,502.648361
583.280015,831,502.851062
548.440664,795,503.699711
182.255221,358,503.790039
540.645834,793,503.984668
377.674137,554,506.276579
206.146981,373,506.606063
947.635985,1225,507.673761
320.076314,513,510.069229
318.442119,543,510.733937
203.567499,386,511.265958
667.974643,967,514.269835
335.60548,547,514.765544
928.096017,1252,517.816533
150.798859,329,518.118267
206.628196,357,518.428659
192.064609,344,518.733871
119.50134,264,518.988604
120.277221,256,519.242685
156.448229,328,519.531073
194.316691,401,521.874545
1314.568514,1589,523.238419
548.394363,777,525.934006
153.563431,306,526.20626
182.673511,383,526.482483
340.577512,554,526.896729
134.126556,277,528.920057
936.073446,1171,529.231148
246.355926,426,529.333678
487.90582,730,530.160422
287.895641,505,530.294026
1298.152895,1681,531.347385
423.39192,669,531.529587
183.080644,361,531.623835
208.858975,399,531.730584
494.185817,784,532.561788
329.338583,536,532.695784
286.550097,470,532.814844
412.072557,656,533.606655
434.630897,674,533.786446
505.542357,758,533.982643
769.45921,1031,534.926274
346.750473,543,535.141561
336.195552,547,535.338563
621.854778,895,536.282641
330.357351,535,536.444561
820.053776,1061,537.411912
555.168923,803,537.643827
309.923873,499,537.780403
404.701486,643,538.62899
233.670607,427,538.751864
525.937864,808,538.966595
373.272936,620,539.121717
164.245692,325,539.829646
227.92862,404,539.945864
402.567427,659,540.116151
1110.838214,1392,541.175972
537.584006,778,541.397983
436.505845,657,541.579928
956.070779,1231,542.561881
1202.10561,1482,543.629678
172.399544,332,543.713248
778.527566,1056,544.641338
690.113428,919,544.930053
555.167478,820,545.15589
1068.503542,1323,546.187756
444.86235,681,546.374557
162.783465,317,546.465642
375.965426,568,547.322239
693.027899,976,547.596649
629.608199,883,549.425573
815.41669,1052,549.74123
224.373309,404,549.869219
302.279813,523,550.712141
1163.630865,1503,551.136086
613.240719,895,552.082502
361.683796,592,552.232657
320.792758,514,552.363061
681.757014,954,553.303319
209.051942,400,553.402987
646.89117,902,553.629773
1302.717744,1724,554.683156
464.689062,686,555.490156
590.687146,858,555.717358
853.161826,1120,556.635601
870.752752,1142,557.001666
427.042947,704,557.204823
290.620738,556,557.966292
485.644323,716,558.152345
908.407373,1170,559.086144
880.918808,1139,559.399528
305.45287,576,560.179536
543.068555,799,560.399992
305.88083,567,560.54279
301.462915,536,560.678395
534.775826,769,561.516647
421.433477,674,561.684527
217.317137,434,561.792004
277.257745,564,562.579562
271.465006,511,562.72138
204.717985,458,562.835852
236.604772,513,562.97587
196.17318,444,563.736553
369.388187,649,563.916098
546.358707,794,564.10711
213.098931,476,564.877902
293.606069,569,565.069128
575.246024,837,565.26673
289.816742,558,565.398868
271.055275,510,566.151813
811.717841,1093,566.438883
384.352133,592,567.273317
452.11293,655,567.480735
449.903546,712,567.647897
232.055712,406,567.743137
378.913476,618,568.5302
234.412206,412,568.642019
227.358368,397,568.742166
321.779587,590,568.901819
592.10254,837,569.783443
455.030236,652,569.956371
300.636765,568,570.103351
427.76839,640,570.96049
641.763051,895,571.206396
378.144757,621,571.352279
331.442596,615,572.165872
372.732593,627,572.353569
538.511335,800,572.562764
315.389038,605,573.38961
411.508939,604,573.55304
279.704498,468,573.673642
446.624421,660,574.493311
504.400054,763,574.701102
531.795932,781,574.891581
317.661822,509,575.667264
401.255527,585,575.853773
534.875248,723,576.058331
214.844408,375,576.146485
584.538411,867,577.011434
571.986445,849,577.260665
565.536185,861,578.215826
449.746482,740,578.446834
382.165545,677,578.625386
580.050053,876,579.532096
207.270502,381,579.656848
310.369187,504,579.791519
487.238488,762,580.721715
174.834782,329,580.829634
487.88001,780,581.061195
380.368792,584,581.225648
475.211754,679,582.140389
245.502418,413,582.275708
927.463433,1203,583.272302
274.777032,431,583.414867
393.653799,676,583.622836
224.527116,383,583.726724
525.453046,751,584.625718
376.1633,569,584.811718
209.952399,370,584.913609
595.836148,858,585.753033
384.884734,553,585.931774
257.307479,415,586.058249
863.977136,1161,586.978506
951.0198,1240,587.362587
678.298094,960,588.29371
345.795485,520,588.467069
476.295128,736,588.674553
296.649691,466,588.786487
370.906843,666,589.673235
719.063144,1013,589.973895
615.906852,927,590.86682
1308.693221,1551,591.920344
883.11384,1106,592.270618
260.270327,453,592.389335
221.239233,370,592.485257
120.501907,252,593.240287
684.523172,902,593.550753
579.038727,891,593.770871
290.498523,457,594.57808
217.405856,390,594.706695
944.729188,1232,595.04338
794.608931,1072,596.120434
564.787341,842,596.327919
846.706737,1059,597.269139
350.463809,509,597.405945
277.518023,448,597.513666
484.236668,792,598.501801
351.604175,646,598.693409
644.01852,940,599.629258
363.855251,525,599.805384
331.407728,608,599.980699
857.424542,1075,600.880443
188.958823,355,600.99913
196.090027,359,601.110086
351.263852,504,601.242343
531.826274,810,602.077335
173.581753,311,602.178102
825.312127,1004,602.466414
333.28079,509,602.585083
489.752472,797,603.598709
1478.47438,1767,604.737667
270.77563,430,604.87351
171.924344,309,604.957492
712.135392,1029,605.934008
231.658668,410,606.070995
179.532796,334,606.168271
990.427139,1343,607.237524
636.533632,958,607.545113
555.08961,834,608.415232
200.508375,358,608.533301
297.609256,456,608.68135
548.319882,767,608.894069
831.790386,1133,609.865155
320.072069,504,610.019946
238.484529,400,610.133294
175.427924,323,610.215373
341.028921,507,611.054539
383.53503,581,611.24322
503.972292,718,611.450527
649.511591,949,612.353757
484.806339,759,612.579774
729.42959,1047,613.565148
409.587759,614,613.75665
264.367608,425,613.870679
311.981877,468,613.987698
521.146354,794,614.834002
268.286826,445,614.977328
244.455734,405,615.087984
616.808628,894,616.025138
229.029086,384,616.150798
370.205192,535,616.318224
620.304675,897,617.179494
326.824368,601,617.388761
385.818312,680,617.597859
584.797247,879,618.507362
572.395126,860,618.800091
278.98467,547,618.965317
316.157864,604,619.769243
1228.610378,1531,620.241488
447.110885,711,621.080997
417.37695,674,621.307914
491.686184,821,621.531501
710.072966,983,622.460182
647.131794,819,622.688601
502.8647,771,623.580802
429.208217,731,623.838054
558.371153,879,624.087522
639.825523,981,625.030449
623.476734,945,625.287054
226.346871,404,626.088738
219.027436,372,626.218244
482.557379,699,626.429778
342.381165,529,626.563383
506.460897,699,627.48887
1345.166417,1720,628.679367
820.451328,1043,629.022674
606.889005,811,629.224518
1014.321246,1215,630.29398
407.580107,707,630.484229
383.209698,676,631.389747
627.859932,946,631.677472
328.47928,478,631.802855
671.447374,998,632.795556
372.503718,520,632.947806
537.495543,724,633.128962
476.983791,802,634.107596
273.683307,429,634.240706
769.519907,1135,635.307416
580.38985,914,635.594121
690.11148,1070,636.629061
859.158773,1012,636.963939
924.136013,1121,638.020838
1192.746364,1733,639.200118
1577.031699,2036,639.824423
1251.776302,2031,641.074954
472.532688,630,641.90329
332.082204,482,642.06215
376.641448,559,642.214632
236.978105,393,642.312152
287.423876,443,643.094743
612.216604,952,643.396027
676.212767,959,644.33747
561.06173,719,644.581496
389.583838,697,644.763146
1408.885632,1767,645.997804
481.023164,644,646.853491
601.051763,763,647.115126
511.993092,780,647.324415
480.688892,776,648.242494
300.316595,607,648.447858
340.526589,650,648.622694
